,date,negative,neutral,positive,open,high,low,close,volume
1317,2018-04-23,14,25,9,8794.3896484375,8958.5498046875,8788.8095703125,8930.8798828125,6925190144.0
1318,2018-04-24,3,27,12,8934.33984375,9732.6103515625,8927.830078125,9697.5,10678800384.0
1319,2018-04-25,15,22,4,9701.0302734375,9745.3203125,8799.83984375,8845.740234375,11083100160.0
1320,2018-04-26,6,15,3,8867.3203125,9281.509765625,8727.08984375,9281.509765625,8970559488.0
1321,2018-04-27,8,21,8,9290.6298828125,9375.4697265625,8987.0498046875,8987.0498046875,7566289920.0
1322,2018-04-28,4,11,3,8939.26953125,9412.08984375,8931.990234375,9348.48046875,7805479936.0
1323,2018-04-29,0,19,1,9346.41015625,9531.490234375,9193.7099609375,9419.080078125,8853000192.0
1324,2018-04-30,12,31,1,9426.1103515625,9477.1396484375,9166.8095703125,9240.5498046875,8673920000.0
1325,2018-05-01,8,13,6,9251.4697265625,9255.8798828125,8891.0498046875,9119.009765625,7713019904.0
1326,2018-05-02,4,16,9,9104.599609375,9256.51953125,9015.1396484375,9235.919921875,7558159872.0
1327,2018-05-03,11,23,3,9233.9697265625,9798.330078125,9188.150390625,9743.8603515625,10207299584.0
1328,2018-05-04,3,18,9,9695.5,9779.2001953125,9585.9599609375,9700.759765625,8217829888.0
1329,2018-05-05,4,26,4,9700.2802734375,9964.5,9695.1201171875,9858.150390625,7651939840.0
1330,2018-05-06,10,15,6,9845.3095703125,9940.1396484375,9465.25,9654.7998046875,7222280192.0
1331,2018-05-07,13,27,12,9645.669921875,9665.849609375,9231.5302734375,9373.009765625,7394019840.0
1332,2018-05-08,7,18,6,9380.8701171875,9462.75,9127.76953125,9234.8203125,7415869952.0
1333,2018-05-09,13,20,4,9223.73046875,9374.759765625,9031.6201171875,9325.1796875,7226890240.0
1334,2018-05-10,5,18,12,9325.9599609375,9396.0400390625,9040.51953125,9043.9404296875,6906699776.0
1335,2018-05-11,14,26,11,9052.9599609375,9052.9599609375,8394.4599609375,8441.490234375,8488520192.0
1336,2018-05-12,4,12,3,8441.4404296875,8664.8603515625,8223.5,8504.8896484375,6821380096.0
1337,2018-05-13,9,24,4,8515.490234375,8773.5498046875,8395.1201171875,8723.9404296875,5866379776.0
1338,2018-05-14,9,16,6,8713.099609375,8881.1201171875,8367.9697265625,8716.7900390625,7364149760.0
1339,2018-05-15,6,22,8,8705.1904296875,8836.1904296875,8456.4501953125,8510.3798828125,6705710080.0
1340,2018-05-16,10,20,5,8504.41015625,8508.4296875,8175.490234375,8368.830078125,6760220160.0
1341,2018-05-17,6,24,5,8370.0498046875,8445.5400390625,8054.1201171875,8094.3198242188,5862530048.0
1342,2018-05-18,12,26,3,8091.830078125,8274.1201171875,7974.8198242188,8250.9697265625,5764190208.0
